pivot_len,atr_mult,min_rr,net_profit,win_rate,profit_factor,max_dd,violations,green_days,k_days,total_trades,score
3,0.8,3.5,141164.9021136497,72.81553398058253,6.180867188792784,3434.1599618507607,0,67,49,103,141164.9021136497
4,1.0,2.0,140976.08818404918,76.10619469026548,5.958596538643614,4933.457152115938,0,71,53,113,140976.08818404918
3,2.0,2.0,139648.00550588273,80.58252427184466,7.3112663619901435,4356.281225225801,0,74,54,103,139648.00550588273
4,0.8,2.0,136807.41980243655,75.22123893805309,5.641028999439826,4595.8862054940255,0,70,55,113,136807.41980243655
3,0.8,3.0,133063.66075975652,73.7864077669903,5.884408835211867,3434.1599618507607,0,68,50,103,133063.66075975652
3,1.2,2.5,132081.1553980374,76.69902912621359,6.159265547330191,3945.7228456654993,0,70,51,103,132081.1553980374
3,1.0,2.5,128985.14804298349,76.69902912621359,6.1314143523077425,3689.941403758101,0,70,52,103,128985.14804298349
3,1.5,2.0,128968.48736627749,79.6116504854369,6.40512661770626,4329.395008526597,0,73,54,103,128968.48736627749
3,0.8,2.5,122244.9838327893,73.7864077669903,5.487284324540337,3434.1599618507607,0,68,51,103,122244.9838327893
2,2.0,4.0,118710.19674699917,74.4186046511628,6.009533706420614,4356.281225225801,0,62,45,86,118710.19674699917
3,1.2,2.0,117568.02418427874,76.69902912621359,5.592363345200152,3945.7228456654993,0,70,52,103,117568.02418427874
2,2.0,3.5,117512.85421165766,74.4186046511628,5.9590062205492265,4356.281225225801,0,62,45,86,117512.85421165766
3,1.0,2.0,117427.23691634164,76.69902912621359,5.671606134557101,3689.941403758101,0,70,53,103,117427.23691634164
3,0.8,2.0,112415.08073467616,73.7864077669903,5.1264550397637265,3434.1599618507607,0,68,53,103,112415.08073467616
2,2.0,3.0,111914.60883411474,74.4186046511628,5.722761991459241,4356.281225225801,0,62,45,86,111914.60883411474
2,1.5,4.0,108372.62538003782,69.76744186046511,4.95330049660983,4329.395008526597,0,58,42,86,108372.62538003782
2,1.2,4.0,106579.26525201183,69.76744186046511,5.2212646036587405,3945.7228456654993,0,58,42,86,106579.26525201183
2,2.0,2.5,105862.90604731173,74.4186046511628,5.467381999491565,4356.281225225801,0,62,45,86,105862.90604731173
2,1.0,4.0,104913.18088237767,69.76744186046511,5.265006076525382,3689.941403758101,0,58,42,86,104913.18088237767
2,1.5,3.5,103394.77454321302,69.76744186046511,4.771714601497851,4329.395008526597,0,58,42,86,103394.77454321302
2,1.2,3.5,102032.90401904762,69.76744186046511,5.041197742597358,3945.7228456654993,0,58,42,86,102032.90401904762
2,1.0,3.5,100518.81305584538,69.76744186046511,5.086363075474254,3689.941403758101,0,58,42,86,100518.81305584538
2,0.8,4.0,100503.42604486283,67.44186046511628,4.790407104050177,3434.1599618507607,0,56,42,86,100503.42604486283
2,2.0,2.0,99823.23941982514,75.5813953488372,5.213366719006363,4356.281225225801,0,63,46,86,99823.23941982514
2,1.5,3.0,98965.59002307779,69.76744186046511,4.6101433808909515,4329.395008526597,0,58,42,86,98965.59002307779
2,1.0,3.0,97018.07843358838,70.93023255813954,4.94482146796794,3689.941403758101,0,59,43,86,97018.07843358838
2,1.2,3.0,96057.5319528493,69.76744186046511,4.8045323223855405,3945.7228456654993,0,58,42,86,96057.5319528493
2,0.8,3.5,94870.47263481171,67.44186046511628,4.577964728078729,3434.1599618507607,0,56,42,86,94870.47263481171
2,1.2,2.5,90610.96460136521,70.93023255813954,4.589496245648095,3945.7228456654993,0,59,43,86,90610.96460136521
2,0.8,3.0,90604.35693618574,68.6046511627907,4.417692670803622,3434.1599618507607,0,57,43,86,90604.35693618574
2,1.5,2.5,90218.10460807878,69.76744186046511,4.291045838371028,4329.395008526597,0,58,42,86,90218.10460807878
2,1.0,2.5,87205.80521061952,70.93023255813954,4.54584772323406,3689.941403758101,0,59,44,86,87205.80521061952
2,0.8,2.5,85014.43288395443,69.76744186046511,4.319023766392014,3434.1599618507607,0,57,44,86,85014.43288395443
2,1.2,2.0,83619.48325128679,72.09302325581395,4.459178818232529,3945.7228456654993,0,59,45,86,83619.48325128679
2,1.5,2.0,82294.9171301797,70.93023255813954,4.002545468953877,4329.395008526597,0,59,43,86,82294.9171301797
2,1.0,2.0,81351.41264791455,72.09302325581395,4.445537606879764,3919.1318876571895,0,59,46,86,81351.41264791455
2,0.8,2.0,73069.32372733316,69.76744186046511,3.8526782314274937,3640.2840071990213,0,57,46,86,73069.32372733316
